cfg,label,reason,traceback
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\07. RECLOSE KNCI-BREBES 1 (11 FEB 2024)_PETIR\REKAMAN DFR\GI KANCI\OCR CEP 2.CFG,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\08. RECLOSE JTGEDE-RCEKEK 2 (17 FEB 2024)_PETIR\REKAMAN DFR\GI JATIGEDE\D50_RCD_01016_20240217_142420_372.cfg,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\08. RECLOSE JTGEDE-RCEKEK 2 (17 FEB 2024)_PETIR\REKAMAN DFR\GI JATIGEDE\DFR INTERNAL BAY RANCAKEK 2\rckek 2 (dfr internal).CFG,PETIR,parse returned None,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\08. RECLOSE JTGEDE-RCEKEK 2 (17 FEB 2024)_PETIR\REKAMAN DFR\GI RANCAEKEK\20240217_142408_276_r104.cfg,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\09 - RECLOSE SUKSES SUTET 500KV TASIKMALAYA-DEPOK (20 FEB 2024)_PETIR\DFR EKSTERNAL\240220,073645468,+7h0,GITET TASIK,DEPOK1-DEPOK2,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\09 - RECLOSE SUKSES SUTET 500KV TASIKMALAYA-DEPOK (20 FEB 2024)_PETIR\RELAY LINE DIFF\RELE MAIN B\371_202202473645559_FRA00371.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\10 - RECLOSE SUKSES SUTT 70KV SUMADRA-SANTOSA (20 FEB 2024)_PETIR\RELAY DISTANCE\GI SANTOSA BAY SUMADRA\DR\Tuesday 20 February 2024 13.25.38.000.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\10 - RECLOSE SUKSES SUTT 70KV SUMADRA-SANTOSA (20 FEB 2024)_PETIR\RELAY DISTANCE\Tuesday 20 February 2024 11.50.19.000.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\15. RECLOSE BANJAR - PANGANDARAN 1 (24 FEB 2024)_PETIR\DFR Eksternal Bay Banjar 1\DFR Eksternal Bay Banjar 1.cfg,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\15. RECLOSE BANJAR - PANGANDARAN 1 (24 FEB 2024)_PETIR\DFR Eksternal Bay Pangandaran 1\DFR Eksternal Pangandaran 1.cfg,PETIR,protection=UNKNOWN,
